Cement,Water,Fine_Aggregate,Coarse_Aggregate,Superplasticizer,Age,Compressive_Strength
498.0,184.0,823.0,846.3,6.84,28,52.08
420.9,183.1,802.1,906.3,3.86,3,23.6
517.5,199.7,893.1,807.5,3.06,28,50.65
480.4,192.6,834.9,893.6,6.85,7,38.58
341.7,151.6,1010.2,701.0,7.28,3,23.82
544.4,153.0,720.7,878.7,10.67,28,60.94
495.1,186.1,783.2,878.0,6.52,28,50.88
500.8,179.2,783.8,825.7,8.46,56,54.68
349.5,165.6,775.4,840.6,4.8,28,43.74
423.6,175.1,840.2,896.2,7.02,56,49.06
405.3,195.5,924.8,761.6,6.22,28,39.35
533.2,199.6,870.9,874.0,9.93,28,49.63
468.1,183.7,885.7,747.7,7.09,1,10.6
509.2,173.1,967.2,690.3,12.13,28,55.34
422.0,166.2,890.2,757.2,5.72,3,24.4
372.3,181.3,870.9,700.6,1.98,3,22.77
447.6,168.9,806.4,791.0,4.35,7,35.43
334.7,183.8,784.7,870.9,5.02,56,36.93
510.4,190.6,778.7,784.7,8.07,28,52.49
465.3,154.0,1032.5,703.8,7.47,90,55.41
494.4,150.1,855.5,719.2,9.54,180,67.79
401.5,162.7,781.5,808.1,4.21,56,48.5
543.3,203.7,881.6,821.5,9.94,3,27.34
525.4,188.8,902.9,666.5,10.03,56,55.92
499.0,160.3,952.0,778.1,6.6,56,60.39
364.8,203.4,905.4,789.8,4.76,56,36.45
427.3,178.2,911.3,652.4,3.67,7,36.39
330.1,178.6,930.1,758.3,4.38,3,19.93
355.5,206.1,916.0,760.4,7.37,90,38.49
477.1,153.6,814.1,887.4,11.06,7,44.07
491.3,162.9,799.4,916.2,8.29,14,53.49
542.5,185.1,1007.3,686.3,5.96,28,55.06
394.9,161.7,900.0,767.2,7.36,3,21.94
405.2,190.8,827.2,787.3,8.02,1,15.59
428.0,162.8,909.5,779.9,4.98,180,53.01
363.6,155.9,799.8,941.6,7.83,56,50.21
349.9,162.4,956.0,711.5,2.27,90,43.92
429.4,175.4,812.0,870.9,2.24,7,36.75
372.2,160.6,934.4,703.0,2.78,7,32.21
474.1,158.1,901.9,799.3,3.85,14,50.04
420.5,201.6,859.9,889.7,9.5,28,40.11
511.5,169.2,719.1,863.0,6.91,1,17.35
481.1,171.6,910.4,680.1,5.05,28,52.48
391.8,153.3,789.9,868.0,5.32,180,54.72
511.4,171.4,753.6,892.7,6.6,28,50.49
505.1,165.9,937.6,726.7,5.57,14,49.65
409.1,186.6,783.8,776.0,3.17,14,38.5
386.3,162.3,829.1,801.7,7.0,3,25.03
477.0,203.3,811.7,854.9,3.69,7,35.6
352.1,205.8,965.0,702.0,7.22,28,31.82
366.0,156.0,831.7,849.8,3.31,14,40.46
321.7,156.4,815.7,878.3,6.31,28,42.04
501.0,156.9,833.1,845.2,10.58,56,56.49
472.9,187.2,820.7,887.4,3.55,7,37.14
482.2,157.3,833.5,841.4,3.25,1,13.8
499.6,201.1,766.5,891.0,11.99,1,10.95
425.6,195.3,791.8,879.4,6.07,3,23.21
450.8,199.2,804.8,765.4,7.94,28,45.96
352.2,181.6,933.8,670.9,1.92,56,40.29
346.3,209.8,759.2,896.3,3.66,56,32.09
473.7,152.7,831.1,893.5,7.16,28,57.67
428.4,174.1,988.3,697.5,9.73,14,44.38
450.0,169.4,915.0,653.1,4.69,7,37.7
495.9,206.9,920.8,747.6,10.17,14,40.59
466.0,184.6,775.0,819.4,8.5,7,35.65
447.3,198.4,870.4,826.4,3.27,56,46.56
448.6,160.2,826.3,889.2,4.88,28,51.66
389.9,208.7,783.1,885.6,3.8,7,25.21
327.1,179.9,845.8,822.5,4.53,7,23.47
420.4,179.6,867.7,750.0,7.44,3,25.75
369.4,208.3,826.2,813.1,5.05,90,35.3
414.0,172.8,933.1,789.7,4.09,3,25.03
516.3,173.9,837.9,856.8,9.77,1,16.66
373.8,185.1,830.1,823.9,6.24,7,27.49
333.4,157.7,923.2,700.4,5.13,56,43.0
384.7,169.3,907.6,652.5,6.19,28,43.51
387.5,161.6,786.6,792.0,3.66,28,46.15
472.2,156.2,851.1,737.5,8.79,14,52.35
448.1,202.0,798.9,825.8,5.71,3,20.55
500.3,185.4,796.4,942.4,6.14,56,54.21
472.8,171.5,925.7,725.3,3.78,7,40.57
413.5,174.5,759.6,837.4,7.0,1,11.7
507.2,175.9,807.3,763.8,8.65,28,53.15
358.4,188.0,846.1,771.5,4.23,3,20.36
325.2,205.6,818.3,894.8,7.22,3,16.44
340.7,206.0,755.1,871.6,7.46,56,33.92
486.1,173.5,856.0,848.5,3.49,28,52.23
426.2,169.8,1014.1,696.5,8.06,7,34.84
357.1,177.1,852.5,719.6,4.6,7,31.42
435.2,184.1,847.9,823.8,10.88,28,47.81
355.0,177.7,794.0,947.8,3.37,3,20.84
480.2,189.5,880.5,749.9,5.09,3,22.99
422.6,183.3,723.7,836.5,5.85,28,44.1
407.6,169.2,921.8,812.9,4.23,28,46.09
389.3,170.7,971.8,754.9,7.34,180,46.23
465.0,172.7,849.6,804.8,6.8,14,45.17
403.2,155.7,821.8,838.7,3.8,3,23.54
340.2,160.0,727.9,864.5,5.15,28,42.19
347.1,193.4,777.6,936.3,7.91,28,34.75
541.2,173.3,848.8,800.9,11.28,3,27.47
529.0,162.9,906.8,650.0,7.92,28,58.37
480.9,183.8,820.7,865.9,5.18,7,37.38
381.2,195.3,932.9,807.2,3.28,56,40.05
542.9,165.4,948.2,767.6,12.25,56,60.99
499.1,199.6,737.1,868.3,9.58,14,41.91
484.9,205.7,738.1,822.5,7.97,90,47.44
423.4,185.8,868.5,869.6,9.56,180,47.41
382.6,190.1,956.5,780.9,2.84,3,20.57
342.2,153.2,854.5,802.0,6.38,14,39.49
527.6,206.7,940.2,738.3,4.92,28,47.55
424.8,173.5,952.9,689.6,3.15,3,23.94
366.5,205.4,921.2,712.8,5.25,14,30.15
390.4,184.7,942.5,631.4,4.98,7,35.55
453.2,150.3,883.8,685.6,10.8,90,58.17
360.7,152.3,922.5,674.0,4.14,14,39.91
517.0,190.8,987.2,730.1,11.01,28,57.0
494.5,183.8,883.6,695.6,9.88,14,46.78
485.5,151.6,909.8,685.6,8.91,3,28.4
419.4,194.6,979.6,680.2,9.82,56,45.65
464.3,201.1,830.4,762.6,6.11,1,10.06
454.3,179.8,863.7,718.9,5.81,3,27.38
469.5,177.9,876.6,786.0,3.86,14,44.09
339.4,150.3,937.9,685.7,3.57,28,42.35
415.6,197.2,862.2,813.0,9.39,7,34.19
329.6,169.8,992.6,739.8,4.77,3,21.09
433.6,202.7,900.6,679.6,5.13,7,33.13
395.9,172.4,1029.7,703.0,3.69,7,34.12
353.2,183.9,843.3,887.2,5.19,1,8.96
343.8,166.2,954.8,761.1,6.65,28,41.23
455.2,159.6,944.6,731.6,4.89,3,30.34
359.2,196.5,988.4,685.6,7.24,7,27.05
532.8,179.8,983.3,694.6,9.37,28,57.66
453.6,182.2,904.9,783.2,9.41,28,49.24
399.8,207.9,833.9,719.4,4.01,7,28.38
455.9,207.8,827.4,914.2,8.03,7,32.9
325.2,201.3,994.0,673.1,2.63,7,22.84
540.5,161.3,833.1,873.2,6.63,90,60.95
430.9,185.7,908.2,717.3,8.4,7,34.06
500.0,202.7,883.9,668.5,8.82,7,36.45
339.0,172.5,852.7,799.2,2.97,14,33.17
431.9,156.1,795.5,856.0,9.57,7,40.29
432.9,198.7,783.2,854.2,2.63,7,31.48
535.7,178.9,935.9,682.0,9.06,3,30.85
451.5,183.9,842.6,757.4,11.14,28,48.43
428.9,208.9,767.4,888.1,6.7,28,40.0
381.4,186.4,906.1,719.0,8.01,28,37.26
396.3,175.5,850.2,893.7,6.7,28,46.85
439.8,172.2,921.4,663.2,9.09,7,36.92
420.9,175.1,801.2,812.7,7.62,90,49.62
325.0,157.1,772.3,836.5,6.12,28,39.52
510.0,197.7,767.5,891.2,4.87,56,50.12
526.1,200.3,869.0,780.8,10.44,28,52.62
352.3,167.1,868.9,809.8,3.44,14,39.06
447.4,168.2,979.1,760.9,11.01,7,39.29
345.0,202.5,835.2,771.9,3.3,14,28.66
474.6,151.4,846.9,841.6,4.62,3,31.16
384.7,181.2,760.8,794.2,8.53,28,41.4
471.7,177.8,788.0,814.5,4.65,1,12.73
487.2,191.4,967.9,674.9,5.95,1,13.31
496.8,159.8,738.8,817.4,9.58,90,59.91
344.8,190.1,1001.2,672.4,2.82,28,34.56
530.7,172.6,841.2,844.5,4.34,28,55.29
372.9,187.1,787.2,912.1,5.49,7,30.45
328.6,152.4,805.7,847.6,3.24,28,40.14
447.6,177.7,766.5,904.3,4.35,56,51.29
405.3,181.3,926.2,703.0,2.1,28,40.38
510.9,162.9,821.0,737.2,6.34,28,55.22
505.9,158.4,785.9,784.1,5.75,28,55.87
392.9,161.3,923.4,757.6,2.21,7,32.8
539.2,170.6,952.6,796.6,9.39,28,58.73
386.9,155.8,917.9,635.3,6.78,180,50.23
438.5,206.8,987.3,674.3,2.81,14,35.07
378.9,174.3,938.7,761.5,4.3,14,40.07
535.3,198.5,982.3,733.0,12.02,14,45.11
357.9,208.5,943.8,715.3,5.96,14,29.13
330.3,154.8,876.7,797.3,4.37,180,43.22
420.1,189.1,,750.6,6.01,28,44.31
548.2,202.3,795.0,926.8,5.03,14,47.06
525.1,188.1,887.5,686.9,11.15,14,48.71
492.2,175.7,1031.2,704.0,11.46,14,48.46
524.9,175.9,719.7,835.5,12.18,1,14.64
525.5,152.2,988.1,729.1,4.98,28,58.43
439.3,182.1,923.5,641.9,4.93,56,46.88
392.7,209.6,768.9,820.0,3.22,28,37.77
497.6,207.5,819.9,730.8,5.54,7,36.23
